date,ticker,descr,close,retx
2020-12-28,SP500,S&P 500 Index,3735.36,0.008722516000000001
2020-12-29,SP500,S&P 500 Index,3727.04,-0.002227362
2020-12-30,SP500,S&P 500 Index,3732.04,0.001341547
2020-12-31,SP500,S&P 500 Index,3756.07,0.006438838000000001
2021-01-04,SP500,S&P 500 Index,3700.65,-0.01475478
2021-01-05,SP500,S&P 500 Index,3726.86,0.00708254
2021-01-06,SP500,S&P 500 Index,3748.14,0.005709901000000001
2021-01-07,SP500,S&P 500 Index,3803.79,0.01484736
2021-01-08,SP500,S&P 500 Index,3824.68,0.005491891
2021-01-11,SP500,S&P 500 Index,3799.61,-0.006554797
2021-01-12,SP500,S&P 500 Index,3801.19,0.0004158322
2021-01-13,SP500,S&P 500 Index,3809.84,0.002275603
2021-01-14,SP500,S&P 500 Index,3795.54,-0.003753438
2021-01-15,SP500,S&P 500 Index,3768.25,-0.007190018
2021-01-19,SP500,S&P 500 Index,3798.91,0.008136403
2021-01-20,SP500,S&P 500 Index,3851.85,0.01393558
2021-01-21,SP500,S&P 500 Index,3853.07,0.0003167309
2021-01-22,SP500,S&P 500 Index,3841.47,-0.003010586
2021-01-25,SP500,S&P 500 Index,3855.36,0.003615803
2021-01-26,SP500,S&P 500 Index,3849.62,-0.001488836
2021-01-27,SP500,S&P 500 Index,3750.77,-0.02567786
2021-01-28,SP500,S&P 500 Index,3787.38,0.009760663000000001
2021-01-29,SP500,S&P 500 Index,3714.24,-0.0193115
2021-02-01,SP500,S&P 500 Index,3773.86,0.01605174
2021-02-02,SP500,S&P 500 Index,3826.31,0.01389824
2021-02-03,SP500,S&P 500 Index,3830.17,0.001008805
2021-02-04,SP500,S&P 500 Index,3871.74,0.0108533
2021-02-05,SP500,S&P 500 Index,3886.83,0.003897473
2021-02-08,SP500,S&P 500 Index,3915.59,0.007399346
2021-02-09,SP500,S&P 500 Index,3911.23,-0.001113498
2021-02-10,SP500,S&P 500 Index,3909.88,-0.00034516
2021-02-11,SP500,S&P 500 Index,3916.38,0.001662455
2021-02-12,SP500,S&P 500 Index,3934.83,0.004710983
2021-02-16,SP500,S&P 500 Index,3932.59,-0.0005692749
2021-02-17,SP500,S&P 500 Index,3931.33,-0.0003203995
2021-02-18,SP500,S&P 500 Index,3913.97,-0.004415808
2021-02-19,SP500,S&P 500 Index,3906.71,-0.001854894
2021-02-22,SP500,S&P 500 Index,3876.5,-0.00773285
2021-02-23,SP500,S&P 500 Index,3881.37,0.001256288
2021-02-24,SP500,S&P 500 Index,3925.43,0.01135166
2021-02-25,SP500,S&P 500 Index,3829.34,-0.02447885
2021-02-26,SP500,S&P 500 Index,3811.15,-0.004750166
2021-03-01,SP500,S&P 500 Index,3901.82,0.02379072
2021-03-02,SP500,S&P 500 Index,3870.29,-0.008080845
2021-03-03,SP500,S&P 500 Index,3819.72,-0.0130662
2021-03-04,SP500,S&P 500 Index,3768.47,-0.01341721
2021-03-05,SP500,S&P 500 Index,3841.94,0.01949598
2021-03-08,SP500,S&P 500 Index,3821.35,-0.005359272
2021-03-09,SP500,S&P 500 Index,3875.44,0.01415468
2021-03-10,SP500,S&P 500 Index,3898.81,0.006030283
2021-03-11,SP500,S&P 500 Index,3939.34,0.01039548
2021-03-12,SP500,S&P 500 Index,3943.34,0.001015399
2021-03-15,SP500,S&P 500 Index,3968.94,0.006491959
2021-03-16,SP500,S&P 500 Index,3962.71,-0.001569689
2021-03-17,SP500,S&P 500 Index,3974.12,0.002879343
2021-03-18,SP500,S&P 500 Index,3915.46,-0.0147605
2021-03-19,SP500,S&P 500 Index,3913.1,-0.0006027389
2021-03-22,SP500,S&P 500 Index,3940.59,0.007025121
2021-03-23,SP500,S&P 500 Index,3910.52,-0.007630837000000001
2021-03-24,SP500,S&P 500 Index,3889.14,-0.005467304
2021-03-25,SP500,S&P 500 Index,3909.52,0.005240233
2021-03-26,SP500,S&P 500 Index,3974.54,0.0166312
2021-03-29,SP500,S&P 500 Index,3971.09,-0.000868025
2021-03-30,SP500,S&P 500 Index,3958.55,-0.003157823
2021-03-31,SP500,S&P 500 Index,3972.89,0.003622539
2021-04-01,SP500,S&P 500 Index,4019.87,0.01182515
2021-04-05,SP500,S&P 500 Index,4077.91,0.01443828
2021-04-06,SP500,S&P 500 Index,4073.94,-0.0009735379
2021-04-07,SP500,S&P 500 Index,4079.95,0.00147523
2021-04-08,SP500,S&P 500 Index,4097.17,0.00422064
2021-04-09,SP500,S&P 500 Index,4128.8,0.007719963000000001
2021-04-12,SP500,S&P 500 Index,4127.99,-0.0001961829
2021-04-13,SP500,S&P 500 Index,4141.59,0.003294582
2021-04-14,SP500,S&P 500 Index,4124.66,-0.004087802000000001
2021-04-15,SP500,S&P 500 Index,4170.42,0.01109425
2021-04-16,SP500,S&P 500 Index,4185.47,0.003608749
2021-04-19,SP500,S&P 500 Index,4163.26,-0.005306453
2021-04-20,SP500,S&P 500 Index,4134.94,-0.006802361000000001
2021-04-21,SP500,S&P 500 Index,4173.42,0.009306060000000001
2021-04-22,SP500,S&P 500 Index,4134.98,-0.009210671
2021-04-23,SP500,S&P 500 Index,4180.17,0.01092871
2021-04-26,SP500,S&P 500 Index,4187.62,0.001782224
2021-04-27,SP500,S&P 500 Index,4186.72,-0.0002149192
2021-04-28,SP500,S&P 500 Index,4183.18,-0.0008455307000000001
2021-04-29,SP500,S&P 500 Index,4211.47,0.006762797
2021-04-30,SP500,S&P 500 Index,4181.17,-0.007194637
2021-05-03,SP500,S&P 500 Index,4192.66,0.002748035
2021-05-04,SP500,S&P 500 Index,4164.66,-0.006678338000000001
2021-05-05,SP500,S&P 500 Index,4167.59,0.0007035388
2021-05-06,SP500,S&P 500 Index,4201.62,0.00816539
2021-05-07,SP500,S&P 500 Index,4232.6,0.007373346
2021-05-10,SP500,S&P 500 Index,4188.43,-0.01043567
2021-05-11,SP500,S&P 500 Index,4152.1,-0.008673894
2021-05-12,SP500,S&P 500 Index,4063.04,-0.02144939
2021-05-13,SP500,S&P 500 Index,4112.5,0.01217315
2021-05-14,SP500,S&P 500 Index,4173.85,0.01491793
2021-05-17,SP500,S&P 500 Index,4163.29,-0.002530038
2021-05-18,SP500,S&P 500 Index,4127.83,-0.008517303
2021-05-19,SP500,S&P 500 Index,4115.68,-0.002943435
2021-05-20,SP500,S&P 500 Index,4159.12,0.01055476
2021-05-21,SP500,S&P 500 Index,4155.86,-0.0007838196
2021-05-24,SP500,S&P 500 Index,4197.05,0.009911306
2021-05-25,SP500,S&P 500 Index,4188.13,-0.002125302
2021-05-26,SP500,S&P 500 Index,4195.99,0.001876733
2021-05-27,SP500,S&P 500 Index,4200.88,0.001165398
2021-05-28,SP500,S&P 500 Index,4204.11,0.0007688865
2021-06-01,SP500,S&P 500 Index,4202.04,-0.0004923753
2021-06-02,SP500,S&P 500 Index,4208.12,0.001446916
2021-06-03,SP500,S&P 500 Index,4192.85,-0.003628699
2021-06-04,SP500,S&P 500 Index,4229.89,0.008834086000000001
2021-06-07,SP500,S&P 500 Index,4226.52,-0.0007967110000000001
2021-06-08,SP500,S&P 500 Index,4227.26,0.0001750849
2021-06-09,SP500,S&P 500 Index,4219.55,-0.001823876
2021-06-10,SP500,S&P 500 Index,4239.18,0.004652155000000001
2021-06-11,SP500,S&P 500 Index,4247.44,0.00194849
2021-06-14,SP500,S&P 500 Index,4255.15,0.001815211
2021-06-15,SP500,S&P 500 Index,4246.59,-0.00201168
2021-06-16,SP500,S&P 500 Index,4223.7,-0.005390207
2021-06-17,SP500,S&P 500 Index,4221.86,-0.000435637
2021-06-18,SP500,S&P 500 Index,4166.45,-0.01312455
2021-06-21,SP500,S&P 500 Index,4224.79,0.01400233
2021-06-22,SP500,S&P 500 Index,4246.44,0.005124515
2021-06-23,SP500,S&P 500 Index,4241.84,-0.00108326
2021-06-24,SP500,S&P 500 Index,4266.49,0.005811158
2021-06-25,SP500,S&P 500 Index,4280.7,0.003330607
2021-06-28,SP500,S&P 500 Index,4290.61,0.002315042
2021-06-29,SP500,S&P 500 Index,4291.8,0.0002773498
2021-06-30,SP500,S&P 500 Index,4297.5,0.001328114
2021-07-01,SP500,S&P 500 Index,4319.94,0.005221641
2021-07-02,SP500,S&P 500 Index,4352.34,0.007500104
2021-07-06,SP500,S&P 500 Index,4343.54,-0.002021901
2021-07-07,SP500,S&P 500 Index,4358.13,0.003359011
2021-07-08,SP500,S&P 500 Index,4320.82,-0.008561011
